Nome do Produto,Volume,Categoria,Venda em (un/pct),Estoque Atual,Fornecedor,Preço de Custo,Preço de Venda Atual (un.),Margem de Lucro (un.),Preço de Venda Atual (pct),Margem de Lucro (pct),Giro (Vende Rápido/Devagar)
Askov Pêssego ,900ml,Vodka,unidade,6un,,,"R$ 16,00",,,,
Askov Maracujá ,900ml,Vodka,unidade,19un,,,"R$ 16,00",,,,
Askov Kiwi,900ml,Vodka,unidade,3un,,,"R$ 16,00",,,,
Askov Blueberry,900ml,Vodka,unidade,4un,,,"R$ 16,00",,,,
Askov Frutas Vermelhas ,900ml,Vodka,unidade,19un,,,"R$ 16,00",,,,
Askov Frutas Roxas,900ml,Vodka,unidade,31un,,,"R$ 16,00",,,,
Askov Black Frutas Silvestres ,900ml,Vodka,unidade,3un,,,"R$ 16,00",,,,
Balalaika,1L,Vodka,unidade,6un,,,"R$ 18,00",,-,,
Cîroc Red Berry,750ml,Vodka,unidade,6un,,,"R$ 170,00",,-,,
Intencion Vodka,900ml,Vodka,unidade,7un,,,"R$ 25,00",,-,,
Smirnoff Vodka,Indisponivel,Indisponível,unidade,,,,"R$ 33,00",,-,,
Jack Daniel's Apple,1L,Whisky,unidade,2un,,"R$ 100,00","R$ 180,00","80,00%",-,,
Jack Daniel's Old No. 7,1L,Whisky,unidade,8un,,,"R$ 165,00",,-,,
Ballantine's Finest,1L,Whisky,unidade,12un,,,"R$ 95,00",,-,,
Black Label,1L,Whisky,unidade,13un,,,"R$ 170,00",,-,,
Buchanan's Deluxe,Indisponivel,Indisponível,unidade,3un,,,"R$ 180,00",,-,,
Chanceler,1L,Whisky,unidade,7un,,,"R$ 23,00",,-,,
Chivas Regal XII,1L,Whisky,unidade,2un,,,"R$ 140,00",,-,,
Chivas Regal XII*,750ml,Whisky,unidade,1un,,,"R$ 140,00",,-,,
Double Black Label,1L,Indisponível,unidade,,,,"R$ 205,00",,-,,
Gold Label Reserve,1L,Whisky,unidade,2un,,,"R$ 280,00",,-,,
Grand Old Parr,1L,Whisky,unidade,2un,,,"R$ 160,00",,-,,
Jim Beam Apple,1L,Whisky,unidade,3un,,,"R$ 85,00",,-,,
Jim Beam Bourbon,1L,Whisky,unidade,3un,,,"R$ 85,00",,-,,
Jim Beam Honey,1L,Whisky,unidade,3un,,,"R$ 85,00",,-,,
Passport Honey*,Indisponivel,Indisponível,unidade,,,,"R$ 50,00",,-,,
